Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
20:54:56,82,"[789, 746]",43.0,77
20:54:57,86,[674],0,81
20:54:58,85,[851],0,80
20:54:59,86,"[492, 253, 377, 351]",156.17618256315527,81
20:55:00,87,[722],0,82
20:55:01,86,"[718, 316]",402.0,81
20:55:02,88,"[393, 710]",317.0,83
20:55:03,86,[750],0,81
20:55:04,83,"[480, 304]",176.0,78
20:55:05,83,[838],0,78
20:55:06,83,"[781, 808]",27.0,78
20:55:08,84,[749],0,79
20:55:08,85,"[707, 707]",0.0,80
20:55:09,85,[686],0,80
20:55:10,84,[675],0,79
20:55:11,84,"[683, 703]",20.0,79
20:55:12,81,[741],0,76
20:55:13,80,[757],0,75
20:55:14,79,"[792, 838]",46.0,74
20:55:15,78,[871],0,73
20:55:16,77,[851],0,72
20:55:17,76,[831],0,71
20:55:18,74,[859],0,69
20:55:19,73,[878],0,68
20:55:20,72,"[881, 871]",10.0,67
20:55:21,71,[886],0,66
20:55:22,71,[901],0,66
20:55:23,71,[921],0,66
20:55:24,71,[877],0,66
20:55:25,71,[878],0,66
20:55:26,70,[867],0,65
20:55:27,70,"[827, 851]",24.0,65
20:55:28,70,[878],0,65
20:55:29,70,[858],0,65
20:55:30,70,[851],0,65
20:55:31,70,[863],0,65
20:55:32,70,[877],0,65
20:55:33,70,"[882, 855]",27.0,65
20:55:34,70,[862],0,65
20:55:35,70,[871],0,65
20:55:36,70,[832],0,65
20:55:37,70,[834],0,65
20:55:39,70,[847],0,65
20:55:40,70,"[859, 838]",21.0,65
20:55:40,70,[855],0,65
20:55:41,70,[867],0,65
20:55:42,70,[846],0,65
20:55:43,71,[859],0,66
20:55:44,72,[851],0,67
20:55:45,72,"[823, 796]",27.0,67
20:55:46,73,[789],0,68
